cell_type1,full_name,cell_ontology_class,cell_ontology_id,remark,study,
Ast,astrocytes,astrocyte,CL:0000127,exact,Lake_2018,
End,endothelial cell,endothelial cell,CL:0000115,exact,Lake_2018,
Ex1,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Ex2,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Ex3a,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Ex3b,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Ex3c,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Ex3d,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Ex3e,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Ex4,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Ex5a,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Ex5b,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Ex6a,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Ex6b,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Ex8,excitatory neuron,neuron,CL:0000540,higher,Lake_2018,
Gran,cerebellar granule cell,cerebellar granule cell,CL:0001031,exact,Lake_2018,
In1a,inhibitory neuron,neuron,CL:0000540,higher,Lake_2018,
In1b,inhibitory neuron,neuron,CL:0000540,higher,Lake_2018,
In1c,inhibitory neuron,neuron,CL:0000540,higher,Lake_2018,
In2,inhibitory neuron,neuron,CL:0000540,higher,Lake_2018,
In3,inhibitory neuron,neuron,CL:0000540,higher,Lake_2018,
In4a,inhibitory neuron,neuron,CL:0000540,higher,Lake_2018,
In4b,inhibitory neuron,neuron,CL:0000540,higher,Lake_2018,
In6a,inhibitory neuron,neuron,CL:0000540,higher,Lake_2018,
In6b,inhibitory neuron,neuron,CL:0000540,higher,Lake_2018,
In7,inhibitory neuron,neuron,CL:0000540,higher,Lake_2018,
In8,inhibitory neuron,neuron,CL:0000540,higher,Lake_2018,
Mic,microglia,microglial cell,CL:0000129,exact,Lake_2018,
Oli,oligodendrocytes,oligodendrocyte,CL:0000128,exact,Lake_2018,
OPC,oligodendrocyte precursor cell,oligodendrocyte precursor cell,CL:0002453,exact,Lake_2018,
Per,pericyte,brain pericyte,CL:2000043,exact,Lake_2018,
Purk1,Purkinje neuron,Purkinje cell,CL:0000121,exact,Lake_2018,
Purk2,Purkinje neuron,Purkinje cell,CL:0000121,exact,Lake_2018,